Step	Temp	TotEng	Xlo	Xhi	Ylo	Yhi	Zlo	Zhi	Volume
3800000	806.15442	-35522.703	-1.8724463	215.47245	-1.0810572	124.40306	-0.5	0.5	27273.331
3825000	806.43229	-35513.98	-1.8696988	215.4697	-1.079471	124.40147	-0.5	0.5	27271.952
3850000	808.43914	-35523.517	-1.8706655	215.47067	-1.0800291	124.40203	-0.5	0.5	27272.438
3875000	806.83366	-35509.94	-1.8885618	215.48856	-1.0903615	124.41236	-0.5	0.5	27281.421
3900000	816.08829	-35514.971	-1.8669922	215.46699	-1.0779083	124.39991	-0.5	0.5	27270.594
3925000	825.10581	-35494.493	-1.9081444	215.50814	-1.1016675	124.42367	-0.5	0.5	27291.252
3950000	818.70366	-35498.876	-1.8701127	215.47011	-1.0797099	124.40171	-0.5	0.5	27272.16
3975000	830.02731	-35483.9	-1.9243653	215.52437	-1.1110327	124.43303	-0.5	0.5	27299.398
4000000	830.17418	-35493.105	-1.8710234	215.47102	-1.0802357	124.40224	-0.5	0.5	27272.617
4025000	824.13425	-35487.323	-1.937561	215.53756	-1.1186512	124.44065	-0.5	0.5	27306.025
4050000	864.15108	-35466.879	-1.8842501	215.48425	-1.0878721	124.40987	-0.5	0.5	27279.256
4075000	830.95755	-35489.864	-1.9377236	215.53772	-1.1187451	124.44075	-0.5	0.5	27306.106
4100000	843.542	-35473.668	-1.904999	215.505	-1.0998515	124.42185	-0.5	0.5	27289.673
4125000	859.54978	-35456.963	-1.9299245	215.52992	-1.1142423	124.43624	-0.5	0.5	27302.189
4150000	862.00213	-35448.086	-1.9367661	215.53677	-1.1181923	124.44019	-0.5	0.5	27305.625
4175000	877.31908	-35443.883	-1.9198689	215.51987	-1.1084367	124.43044	-0.5	0.5	27297.14
4200000	874.74646	-35441.951	-1.9706777	215.57068	-1.1377711	124.45977	-0.5	0.5	27322.66
4225000	866.7816	-35450.932	-1.9009525	215.50095	-1.0975153	124.41952	-0.5	0.5	27287.642
4250000	876.08136	-35438.561	-2.0069899	215.60699	-1.158736	124.48074	-0.5	0.5	27340.906
4275000	902.95379	-35413.124	-1.8884547	215.48845	-1.0902997	124.4123	-0.5	0.5	27281.367
4300000	901.33042	-35407.875	-2.0307399	215.63074	-1.172448	124.49445	-0.5	0.5	27352.843
4325000	879.24445	-35431.032	-1.8932738	215.49327	-1.093082	124.41508	-0.5	0.5	27283.786
4350000	898.24565	-35408.918	-2.0351998	215.6352	-1.175023	124.49702	-0.5	0.5	27355.084
4375000	917.08475	-35397.614	-1.9136132	215.51361	-1.1048249	124.42682	-0.5	0.5	27293.998
4400000	900.31095	-35395.254	-2.0207621	215.62076	-1.1666874	124.48869	-0.5	0.5	27347.827
4425000	894.8785	-35410.957	-1.9590715	215.55907	-1.1310703	124.45307	-0.5	0.5	27316.829
4450000	921.98337	-35384.846	-1.9912746	215.59127	-1.1496627	124.47166	-0.5	0.5	27333.008
4475000	926.97028	-35386.109	-2.0022499	215.60225	-1.1559994	124.478	-0.5	0.5	27338.523
4500000	925.21355	-35388.658	-1.9707676	215.57077	-1.137823	124.45982	-0.5	0.5	27322.705
4525000	908.35795	-35377.143	-2.0440663	215.64407	-1.1801421	124.50214	-0.5	0.5	27359.542
4550000	933.72509	-35369.23	-1.9523031	215.5523	-1.1271625	124.44916	-0.5	0.5	27313.429
4575000	944.98107	-35347.798	-2.0700587	215.67006	-1.1951488	124.51715	-0.5	0.5	27372.61
4600000	936.64493	-35359.792	-1.9537526	215.55375	-1.1279994	124.45	-0.5	0.5	27314.157
4625000	953.55536	-35344.857	-2.0820169	215.68202	-1.2020528	124.52405	-0.5	0.5	27378.624
4650000	975.87773	-35334.329	-1.9669603	215.56696	-1.1356249	124.45762	-0.5	0.5	27320.792
4675000	974.3292	-35330.211	-2.0801632	215.68016	-1.2009826	124.52298	-0.5	0.5	27377.692
4700000	956.33983	-35332.966	-1.9940748	215.59407	-1.1512795	124.47328	-0.5	0.5	27334.415
4725000	982.24431	-35328.507	-2.0681361	215.66814	-1.1940388	124.51604	-0.5	0.5	27371.644
4750000	992.16349	-35314.993	-2.0244484	215.62445	-1.1688157	124.49082	-0.5	0.5	27349.68
4775000	987.39995	-35317.119	-2.0583652	215.65837	-1.1883976	124.5104	-0.5	0.5	27366.731
4800000	972.39637	-35318.964	-2.0514129	215.65141	-1.1843836	124.50638	-0.5	0.5	27363.235
4825000	1005.0605	-35292.259	-2.055293	215.65529	-1.1866238	124.50862	-0.5	0.5	27365.186
4850000	1015.0686	-35285.916	-2.0699807	215.66998	-1.1951037	124.5171	-0.5	0.5	27372.571
4875000	1015.7964	-35284.728	-2.0595321	215.65953	-1.1890713	124.51107	-0.5	0.5	27367.317
4900000	983.70383	-35290.476	-2.0874891	215.68749	-1.2052122	124.52721	-0.5	0.5	27381.376
4925000	1023.2463	-35290.468	-2.0594339	215.65943	-1.1890145	124.51101	-0.5	0.5	27367.268
4950000	1004.7338	-35300.066	-2.0998125	215.69981	-1.2123271	124.53433	-0.5	0.5	27387.574
4975000	1005.3656	-35283.068	-2.0682041	215.6682	-1.194078	124.51608	-0.5	0.5	27371.678
5000000	1017.7104	-35279.509	-2.1133053	215.71331	-1.2201172	124.54212	-0.5	0.5	27394.361
5025000	1019.4501	-35279.763	-2.0773099	215.67731	-1.1993353	124.52134	-0.5	0.5	27376.257
5050000	1041.0243	-35234.14	-2.1208333	215.72083	-1.2244635	124.54646	-0.5	0.5	27398.148
5075000	1013.991	-35272.758	-2.0899502	215.68995	-1.2066332	124.52863	-0.5	0.5	27382.614
5100000	1066.9162	-35241.178	-2.126304	215.7263	-1.227622	124.54962	-0.5	0.5	27400.901
5125000	1053.3802	-35232.803	-2.1039201	215.70392	-1.2146987	124.5367	-0.5	0.5	27389.64
5150000	1059.6619	-35241.099	-2.1248438	215.72484	-1.226779	124.54878	-0.5	0.5	27400.166
5175000	1062.1291	-35222.383	-2.1323381	215.73234	-1.2311058	124.55311	-0.5	0.5	27403.937
5200000	1072.5915	-35220.826	-2.1222526	215.72225	-1.225283	124.54728	-0.5	0.5	27398.862
5225000	1076.6739	-35216.072	-2.1468396	215.74684	-1.2394783	124.56148	-0.5	0.5	27411.233
5250000	1068.3216	-35208.249	-2.1275253	215.72753	-1.2283271	124.55033	-0.5	0.5	27401.515
5275000	1101.4247	-35185.438	-2.1585388	215.75854	-1.2462328	124.56823	-0.5	0.5	27417.121
5300000	1059.5584	-35220.221	-2.1393329	215.73933	-1.2351443	124.55714	-0.5	0.5	27407.456
5325000	1096.2103	-35196.197	-2.1636774	215.76368	-1.2491996	124.5712	-0.5	0.5	27419.707
5350000	1099.8277	-35182.247	-2.1512674	215.75127	-1.2420346	124.56403	-0.5	0.5	27413.461
5375000	1098.4904	-35195.01	-2.1737225	215.77372	-1.2549991	124.577	-0.5	0.5	27424.763
5400000	1120.8521	-35164.268	-2.1607458	215.76075	-1.247507	124.56951	-0.5	0.5	27418.231
5425000	1113.6494	-35171.811	-2.1800867	215.78009	-1.2586735	124.58067	-0.5	0.5	27427.966
5450000	1110.6271	-35189.689	-2.1758009	215.7758	-1.2561991	124.5782	-0.5	0.5	27425.809
5475000	1126.8883	-35165.402	-2.1858435	215.78584	-1.2619972	124.584	-0.5	0.5	27430.864
5500000	1141.8945	-35163.404	-2.1896505	215.78965	-1.2641951	124.5862	-0.5	0.5	27432.78
5525000	1125.3271	-35155.17	-2.1929492	215.79295	-1.2660997	124.5881	-0.5	0.5	27434.441
5550000	1144.385	-35131.935	-2.1988118	215.79881	-1.2694844	124.59148	-0.5	0.5	27437.392
5575000	1133.2363	-35141.326	-2.20818	215.80818	-1.2748931	124.59689	-0.5	0.5	27442.109
5600000	1150.8875	-35124.99	-2.2061872	215.80619	-1.2737426	124.59574	-0.5	0.5	27441.105
5625000	1154.7761	-35116.78	-2.2151849	215.81518	-1.2789374	124.60094	-0.5	0.5	27445.636
5650000	1165.9518	-35117.354	-2.2184858	215.81849	-1.2808432	124.60284	-0.5	0.5	27447.298
